,SCHOOL_ID,NRC_DESC,COUNTY_DESC,ITEM_SUBJECT_AREA,GRADE,SUBGROUP_NAME,TOTAL_TESTED,MEAN_SCALE_SCORE_2017,MEAN_SCALE_SCORE_2018,MEAN_SCALE_SCORE_2019
101814,EAGLE POINT ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,3,All Students,47,292,598,596
101828,EAGLE POINT ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,4,All Students,50,288,587,587
101843,EAGLE POINT ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,4,All Students,47,273,585,586
101858,EAGLE POINT ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,5,All Students,45,293,589,589
101873,EAGLE POINT ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,5,All Students,42,280,579,584
101888,EAGLE POINT ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,6,All Students,37,267,590,590
101901,EAGLE POINT ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,6,All Students,27,269,592,586
101914,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,3,All Students,68,277,589,588
101929,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,3,All Students,68,272,583,584
101943,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,4,All Students,52,288,587,592
101957,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,4,All Students,53,276,585,597
101971,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,5,All Students,57,264,588,584
101985,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,5,All Students,56,261,588,581
101999,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,6,All Students,66,267,591,591
102013,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,6,All Students,66,260,585,588
102027,GIFFEN MEMORIAL ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,3,All Students,76,277,579,587
102042,GIFFEN MEMORIAL ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,3,All Students,78,281,582,588
102057,GIFFEN MEMORIAL ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,4,All Students,76,270,579,582
102072,GIFFEN MEMORIAL ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,4,All Students,76,252,576,584
102087,GIFFEN MEMORIAL ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,5,All Students,82,275,576,576
102102,GIFFEN MEMORIAL ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,5,All Students,82,275,576,578
102117,GIFFEN MEMORIAL ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,6,All Students,84,272,583,577
102131,GIFFEN MEMORIAL ELEMENTARY SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,6,All Students,84,273,579,573
102145,WILLIAM S HACKETT MIDDLE SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,6,All Students,103,286,594,587
102160,WILLIAM S HACKETT MIDDLE SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,6,All Students,105,279,592,589
102175,WILLIAM S HACKETT MIDDLE SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,7,All Students,208,287,585,587
102190,WILLIAM S HACKETT MIDDLE SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,7,All Students,198,284,583,590
102205,WILLIAM S HACKETT MIDDLE SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,8,All Students,204,297,595,589
