,SCHOOL_ID,NRC_DESC,COUNTY_DESC,ITEM_SUBJECT_AREA,GRADE,SUBGROUP_NAME,TOTAL_TESTED,MEAN_SCALE_SCORE_2017,MEAN_SCALE_SCORE_2018,MEAN_SCALE_SCORE_2019
205071,WILLIAM H BARKLEY MICROSOCIETY (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,5,All Students,65,281,587,589
205084,RAPHAEL J MCNULTY ACADEMY FOR INTERN STUDIES & LITERACY (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,3,All Students,67,292,594,587
205098,RAPHAEL J MCNULTY ACADEMY FOR INTERN STUDIES & LITERACY (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,3,All Students,71,291,586,586
205111,RAPHAEL J MCNULTY ACADEMY FOR INTERN STUDIES & LITERACY (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,4,All Students,72,269,588,587
205124,RAPHAEL J MCNULTY ACADEMY FOR INTERN STUDIES & LITERACY (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,4,All Students,75,271,586,584
205137,RAPHAEL J MCNULTY ACADEMY FOR INTERN STUDIES & LITERACY (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,5,All Students,71,270,578,583
205151,RAPHAEL J MCNULTY ACADEMY FOR INTERN STUDIES & LITERACY (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,5,All Students,74,270,580,587
205165,WILBUR H LYNCH LITERACY ACADEMY (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,6,All Students,261,280,584,581
205180,WILBUR H LYNCH LITERACY ACADEMY (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,6,All Students,255,280,586,582
205195,WILBUR H LYNCH LITERACY ACADEMY (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,7,All Students,214,283,586,584
205210,WILBUR H LYNCH LITERACY ACADEMY (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,7,All Students,187,276,585,585
205225,WILBUR H LYNCH LITERACY ACADEMY (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,8,All Students,204,283,584,585
205239,WILBUR H LYNCH LITERACY ACADEMY (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,8,All Students,155,250,578,579
205254,WILLIAM B TECLER ARTS IN EDUCATION (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,3,All Students,86,277,587,594
205267,WILLIAM B TECLER ARTS IN EDUCATION (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,3,All Students,91,263,582,593
205280,WILLIAM B TECLER ARTS IN EDUCATION (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,4,All Students,89,276,583,578
205294,WILLIAM B TECLER ARTS IN EDUCATION (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,4,All Students,90,279,581,581
205308,WILLIAM B TECLER ARTS IN EDUCATION (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,5,All Students,75,274,590,583
205322,WILLIAM B TECLER ARTS IN EDUCATION (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,5,All Students,75,283,585,581
205336,MARIE CURIE INSTITUTE OF ENGINEERING AND COMMUNICATION (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,3,All Students,64,287,595,594
205349,MARIE CURIE INSTITUTE OF ENGINEERING AND COMMUNICATION (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,3,All Students,66,277,585,596
205362,MARIE CURIE INSTITUTE OF ENGINEERING AND COMMUNICATION (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,4,All Students,70,284,591,594
205376,MARIE CURIE INSTITUTE OF ENGINEERING AND COMMUNICATION (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,4,All Students,70,288,593,592
205390,MARIE CURIE INSTITUTE OF ENGINEERING AND COMMUNICATION (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,5,All Students,70,296,586,587
205402,MARIE CURIE INSTITUTE OF ENGINEERING AND COMMUNICATION (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,5,All Students,72,297,586,590
205533,CANAJOHARIE MIDDLE SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,6,All Students,48,294,594,596
205543,CANAJOHARIE MIDDLE SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,6,All Students,49,287,596,592
205553,CANAJOHARIE MIDDLE SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,7,All Students,38,316,599,595
205563,CANAJOHARIE MIDDLE SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,7,All Students,40,310,595,595
205573,CANAJOHARIE MIDDLE SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,8,All Students,40,304,609,596
205582,CANAJOHARIE MIDDLE SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,8,All Students,15,254,589,571
205592,EAST HILL SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,3,All Students,50,297,602,599
205601,EAST HILL SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,3,All Students,50,296,598,597
205610,EAST HILL SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,4,All Students,52,292,594,599
205619,EAST HILL SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,4,All Students,53,288,594,597
205628,EAST HILL SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,5,All Students,48,279,592,590
205638,EAST HILL SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,5,All Students,49,294,592,588
205793,FONDA-FULTONVILLE K-4 SCHOOL (MONTGOMERY),Average Needs,MONTGOMERY,ELA,3,All Students,81,310,606,607
205805,FONDA-FULTONVILLE K-4 SCHOOL (MONTGOMERY),Average Needs,MONTGOMERY,Mathematics,3,All Students,80,316,605,610
205817,FONDA-FULTONVILLE K-4 SCHOOL (MONTGOMERY),Average Needs,MONTGOMERY,ELA,4,All Students,88,302,601,607
205830,FONDA-FULTONVILLE K-4 SCHOOL (MONTGOMERY),Average Needs,MONTGOMERY,Mathematics,4,All Students,87,304,606,610
205843,FONDA-FULTONVILLE 5-8 SCHOOL (MONTGOMERY),Average Needs,MONTGOMERY,ELA,5,All Students,86,315,602,602
205856,FONDA-FULTONVILLE 5-8 SCHOOL (MONTGOMERY),Average Needs,MONTGOMERY,Mathematics,5,All Students,87,320,598,600
205869,FONDA-FULTONVILLE 5-8 SCHOOL (MONTGOMERY),Average Needs,MONTGOMERY,ELA,6,All Students,111,299,601,591
205881,FONDA-FULTONVILLE 5-8 SCHOOL (MONTGOMERY),Average Needs,MONTGOMERY,Mathematics,6,All Students,104,316,604,598
205893,FONDA-FULTONVILLE 5-8 SCHOOL (MONTGOMERY),Average Needs,MONTGOMERY,ELA,7,All Students,84,310,601,601
205904,FONDA-FULTONVILLE 5-8 SCHOOL (MONTGOMERY),Average Needs,MONTGOMERY,Mathematics,7,All Students,82,317,604,610
205916,FONDA-FULTONVILLE 5-8 SCHOOL (MONTGOMERY),Average Needs,MONTGOMERY,ELA,8,All Students,110,305,601,600
205927,FONDA-FULTONVILLE 5-8 SCHOOL (MONTGOMERY),Average Needs,MONTGOMERY,Mathematics,8,All Students,91,286,608,603
206083,HARRY HOAG SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,3,All Students,47,291,594,591
206095,HARRY HOAG SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,3,All Students,46,291,592,594
206107,HARRY HOAG SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,4,All Students,58,282,591,599
206120,HARRY HOAG SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,4,All Students,59,294,598,599
206133,HARRY HOAG SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,5,All Students,55,286,589,591
206144,HARRY HOAG SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,5,All Students,52,284,587,592
206156,HARRY HOAG SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,6,All Students,51,294,594,592
206168,HARRY HOAG SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,6,All Students,50,304,585,585
206180,FORT PLAIN JUNIOR-SENIOR HIGH SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,7,All Students,66,300,596,592
206192,FORT PLAIN JUNIOR-SENIOR HIGH SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,7,All Students,66,306,594,587
206204,FORT PLAIN JUNIOR-SENIOR HIGH SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,ELA,8,All Students,50,301,598,595
206216,FORT PLAIN JUNIOR-SENIOR HIGH SCHOOL (MONTGOMERY),Rural High Needs,MONTGOMERY,Mathematics,8,All Students,34,280,598,590
206591,CONNOLLY SCHOOL (NASSAU),Average Needs,NASSAU,ELA,3,All Students,74,301,592,590
206606,CONNOLLY SCHOOL (NASSAU),Average Needs,NASSAU,Mathematics,3,All Students,72,299,590,589
206621,CONNOLLY SCHOOL (NASSAU),Average Needs,NASSAU,ELA,4,All Students,81,306,599,594
206635,CONNOLLY SCHOOL (NASSAU),Average Needs,NASSAU,Mathematics,4,All Students,82,300,600,600
206648,CONNOLLY SCHOOL (NASSAU),Average Needs,NASSAU,ELA,5,All Students,72,304,597,596
206662,CONNOLLY SCHOOL (NASSAU),Average Needs,NASSAU,Mathematics,5,All Students,74,296,596,599
206676,LANDING SCHOOL (NASSAU),Average Needs,NASSAU,ELA,3,All Students,88,294,586,593
206690,LANDING SCHOOL (NASSAU),Average Needs,NASSAU,Mathematics,3,All Students,83,291,587,594
206704,LANDING SCHOOL (NASSAU),Average Needs,NASSAU,ELA,4,All Students,80,297,589,591
206717,LANDING SCHOOL (NASSAU),Average Needs,NASSAU,Mathematics,4,All Students,76,295,595,593
206730,LANDING SCHOOL (NASSAU),Average Needs,NASSAU,ELA,5,All Students,55,295,596,593
206743,LANDING SCHOOL (NASSAU),Average Needs,NASSAU,Mathematics,5,All Students,48,300,597,599
206756,ROBERT M FINLEY MIDDLE SCHOOL (NASSAU),Average Needs,NASSAU,ELA,6,All Students,126,293,601,594
206770,ROBERT M FINLEY MIDDLE SCHOOL (NASSAU),Average Needs,NASSAU,Mathematics,6,All Students,118,293,597,597
206784,ROBERT M FINLEY MIDDLE SCHOOL (NASSAU),Average Needs,NASSAU,ELA,7,All Students,71,305,594,599
206799,ROBERT M FINLEY MIDDLE SCHOOL (NASSAU),Average Needs,NASSAU,Mathematics,7,All Students,73,298,598,604
206814,ROBERT M FINLEY MIDDLE SCHOOL (NASSAU),Average Needs,NASSAU,ELA,8,All Students,52,297,588,599
206828,ROBERT M FINLEY MIDDLE SCHOOL (NASSAU),Average Needs,NASSAU,Mathematics,8,All Students,27,273,584,596
207021,DAVID PATERSON SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,3,All Students,98,284,585,595
207034,DAVID PATERSON SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,3,All Students,103,279,583,594
207047,DAVID PATERSON SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,4,All Students,111,297,597,593
207059,DAVID PATERSON SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,4,All Students,118,296,590,594
207071,DAVID PATERSON SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,5,All Students,97,287,606,603
207083,DAVID PATERSON SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,5,All Students,102,302,592,599
207095,JACKSON MAIN ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,3,All Students,99,301,598,598
207107,JACKSON MAIN ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,3,All Students,107,308,602,597
207119,JACKSON MAIN ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,4,All Students,75,315,597,599
207131,JACKSON MAIN ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,4,All Students,74,319,598,601
207143,JACKSON MAIN ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,5,All Students,85,287,601,591
207154,JACKSON MAIN ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,5,All Students,85,284,600,588
207165,BARACK OBAMA ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,3,All Students,75,303,594,597
207177,BARACK OBAMA ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,3,All Students,80,306,591,602
207189,BARACK OBAMA ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,4,All Students,73,292,599,589
207201,BARACK OBAMA ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,4,All Students,73,290,598,586
207213,BARACK OBAMA ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,5,All Students,101,280,595,595
207225,BARACK OBAMA ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,5,All Students,107,287,595,599
207237,JACKSON ANNEX SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,3,All Students,105,289,592,586
207250,JACKSON ANNEX SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,3,All Students,104,290,594,588
207263,JACKSON ANNEX SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,4,All Students,112,286,594,593
207276,JACKSON ANNEX SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,4,All Students,118,279,589,594
207289,JACKSON ANNEX SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,5,All Students,90,288,591,585
207302,JACKSON ANNEX SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,5,All Students,97,289,589,586
207315,ALVERTA B GRAY SCHULTZ MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,6,All Students,439,266,587,584
207330,ALVERTA B GRAY SCHULTZ MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,6,All Students,458,264,583,584
207345,ALVERTA B GRAY SCHULTZ MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,7,All Students,381,279,583,585
207360,ALVERTA B GRAY SCHULTZ MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,7,All Students,381,268,583,587
207375,ALVERTA B GRAY SCHULTZ MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,8,All Students,357,279,586,589
207390,ALVERTA B GRAY SCHULTZ MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,8,All Students,25,244,576,573
207403,FRONT STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,3,All Students,69,290,593,586
207415,FRONT STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,3,All Students,76,294,595,590
207427,FRONT STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,4,All Students,68,306,585,588
207438,FRONT STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,4,All Students,75,294,587,590
207449,FRONT STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,5,All Students,76,276,595,591
207460,FRONT STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,5,All Students,81,282,600,584
207471,ACADEMY CHARTER SCHOOL (NASSAU),Charters,NASSAU,ELA,3,All Students,105,334,613,609
207484,ACADEMY CHARTER SCHOOL (NASSAU),Charters,NASSAU,Mathematics,3,All Students,105,330,615,610
207497,ACADEMY CHARTER SCHOOL (NASSAU),Charters,NASSAU,ELA,4,All Students,110,328,612,611
207510,ACADEMY CHARTER SCHOOL (NASSAU),Charters,NASSAU,Mathematics,4,All Students,109,318,608,609
207523,ACADEMY CHARTER SCHOOL (NASSAU),Charters,NASSAU,ELA,5,All Students,103,317,609,607
207534,ACADEMY CHARTER SCHOOL (NASSAU),Charters,NASSAU,Mathematics,5,All Students,103,310,607,609
207545,ACADEMY CHARTER SCHOOL (NASSAU),Charters,NASSAU,ELA,6,All Students,85,310,609,610
207556,ACADEMY CHARTER SCHOOL (NASSAU),Charters,NASSAU,Mathematics,6,All Students,85,318,608,614
207567,ACADEMY CHARTER SCHOOL (NASSAU),Charters,NASSAU,ELA,7,All Students,80,318,607,613
207579,ACADEMY CHARTER SCHOOL (NASSAU),Charters,NASSAU,Mathematics,7,All Students,79,317,611,611
207591,ACADEMY CHARTER SCHOOL (NASSAU),Charters,NASSAU,ELA,8,All Students,81,318,612,610
207603,ACADEMY CHARTER SCHOOL (NASSAU),Charters,NASSAU,Mathematics,8,All Students,81,317,618,620
207615,EVERGREEN CHARTER SCHOOL (NASSAU),Charters,NASSAU,ELA,3,All Students,50,310,595,608
207626,EVERGREEN CHARTER SCHOOL (NASSAU),Charters,NASSAU,Mathematics,3,All Students,50,326,607,609
207637,EVERGREEN CHARTER SCHOOL (NASSAU),Charters,NASSAU,ELA,4,All Students,50,319,598,599
207649,EVERGREEN CHARTER SCHOOL (NASSAU),Charters,NASSAU,Mathematics,4,All Students,50,316,601,602
207661,EVERGREEN CHARTER SCHOOL (NASSAU),Charters,NASSAU,ELA,5,All Students,48,308,600,592
207672,EVERGREEN CHARTER SCHOOL (NASSAU),Charters,NASSAU,Mathematics,5,All Students,47,324,602,601
207683,EVERGREEN CHARTER SCHOOL (NASSAU),Charters,NASSAU,ELA,6,All Students,47,309,602,594
207695,EVERGREEN CHARTER SCHOOL (NASSAU),Charters,NASSAU,Mathematics,6,All Students,45,311,601,600
207873,CALIFORNIA AVENUE ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,3,All Students,72,306,600,598
207886,CALIFORNIA AVENUE ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,3,All Students,71,311,602,600
207899,CALIFORNIA AVENUE ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,4,All Students,49,310,607,602
207911,CALIFORNIA AVENUE ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,4,All Students,57,302,604,604
207923,CALIFORNIA AVENUE ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,5,All Students,60,298,597,602
207936,CALIFORNIA AVENUE ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,5,All Students,63,304,593,600
207949,GRAND AVENUE ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,3,All Students,40,320,600,603
207961,GRAND AVENUE ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,3,All Students,37,313,601,603
207972,GRAND AVENUE ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,4,All Students,30,312,599,599
207983,GRAND AVENUE ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,4,All Students,31,308,598,602
207994,GRAND AVENUE ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,5,All Students,33,309,603,599
208005,GRAND AVENUE ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,5,All Students,32,317,606,601
208017,NORTHERN PARKWAY ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,3,All Students,130,303,591,595
208030,NORTHERN PARKWAY ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,3,All Students,133,306,595,600
208043,NORTHERN PARKWAY ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,4,All Students,112,293,596,594
208057,NORTHERN PARKWAY ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,4,All Students,120,302,598,587
208071,NORTHERN PARKWAY ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,5,All Students,112,297,595,597
208084,NORTHERN PARKWAY ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,5,All Students,115,314,594,600
208097,SMITH STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,3,All Students,44,332,610,610
208108,SMITH STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,3,All Students,44,333,611,609
208119,SMITH STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,4,All Students,39,322,607,607
208130,SMITH STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,4,All Students,45,315,606,605
208141,SMITH STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,5,All Students,60,308,603,606
208154,SMITH STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,5,All Students,58,318,603,603
208167,WALNUT STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,3,All Students,59,326,604,609
208179,WALNUT STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,3,All Students,58,330,609,609
208191,WALNUT STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,4,All Students,66,316,600,603
208204,WALNUT STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,4,All Students,72,319,602,602
208217,WALNUT STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,5,All Students,75,311,606,604
208229,WALNUT STREET ELEMENTARY SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,5,All Students,74,309,603,604
208241,LAWRENCE ROAD MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,6,All Students,166,296,602,594
208254,LAWRENCE ROAD MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,6,All Students,154,305,595,592
208266,LAWRENCE ROAD MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,7,All Students,174,309,598,593
208279,LAWRENCE ROAD MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,7,All Students,174,302,596,593
208292,LAWRENCE ROAD MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,8,All Students,97,292,589,589
208305,LAWRENCE ROAD MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,8,All Students,78,286,593,590
208318,TURTLE HOOK MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,6,All Students,153,291,599,595
208332,TURTLE HOOK MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,6,All Students,163,294,599,600
208345,TURTLE HOOK MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,7,All Students,123,298,593,594
208359,TURTLE HOOK MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,7,All Students,124,298,589,593
208373,TURTLE HOOK MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,ELA,8,All Students,108,284,588,591
208387,TURTLE HOOK MIDDLE SCHOOL (NASSAU),Urban-Suburban High Needs,NASSAU,Mathematics,8,All Students,91,284,599,592
208575,BARNUM WOODS SCHOOL (NASSAU),Low Needs,NASSAU,ELA,3,All Students,43,334,614,616
208588,BARNUM WOODS SCHOOL (NASSAU),Low Needs,NASSAU,Mathematics,3,All Students,51,345,615,620
208601,BARNUM WOODS SCHOOL (NASSAU),Low Needs,NASSAU,ELA,4,All Students,53,336,614,617
208613,BARNUM WOODS SCHOOL (NASSAU),Low Needs,NASSAU,Mathematics,4,All Students,56,340,617,620
208625,BARNUM WOODS SCHOOL (NASSAU),Low Needs,NASSAU,ELA,5,All Students,45,334,618,614
208637,BARNUM WOODS SCHOOL (NASSAU),Low Needs,NASSAU,Mathematics,5,All Students,52,344,618,620
208649,BOWLING GREEN SCHOOL (NASSAU),Low Needs,NASSAU,ELA,3,All Students,87,335,612,613
208663,BOWLING GREEN SCHOOL (NASSAU),Low Needs,NASSAU,Mathematics,3,All Students,92,350,619,619
208677,BOWLING GREEN SCHOOL (NASSAU),Low Needs,NASSAU,ELA,4,All Students,98,323,606,605
208691,BOWLING GREEN SCHOOL (NASSAU),Low Needs,NASSAU,Mathematics,4,All Students,98,332,615,615
208705,BOWLING GREEN SCHOOL (NASSAU),Low Needs,NASSAU,ELA,5,All Students,114,316,608,612
208719,BOWLING GREEN SCHOOL (NASSAU),Low Needs,NASSAU,Mathematics,5,All Students,115,327,611,616
208733,MCVEY ELEMENTARY SCHOOL (NASSAU),Low Needs,NASSAU,ELA,3,All Students,102,336,617,617
208747,MCVEY ELEMENTARY SCHOOL (NASSAU),Low Needs,NASSAU,Mathematics,3,All Students,98,344,619,619
208761,MCVEY ELEMENTARY SCHOOL (NASSAU),Low Needs,NASSAU,ELA,4,All Students,74,333,618,616
208775,MCVEY ELEMENTARY SCHOOL (NASSAU),Low Needs,NASSAU,Mathematics,4,All Students,83,349,625,627
208789,MCVEY ELEMENTARY SCHOOL (NASSAU),Low Needs,NASSAU,ELA,5,All Students,77,342,618,624
208803,MCVEY ELEMENTARY SCHOOL (NASSAU),Low Needs,NASSAU,Mathematics,5,All Students,81,348,623,629
208817,PARKWAY SCHOOL (NASSAU),Low Needs,NASSAU,ELA,3,All Students,49,335,603,615
208829,PARKWAY SCHOOL (NASSAU),Low Needs,NASSAU,Mathematics,3,All Students,47,337,607,620
208841,PARKWAY SCHOOL (NASSAU),Low Needs,NASSAU,ELA,4,All Students,56,328,608,607
208853,PARKWAY SCHOOL (NASSAU),Low Needs,NASSAU,Mathematics,4,All Students,56,335,609,616
208865,PARKWAY SCHOOL (NASSAU),Low Needs,NASSAU,ELA,5,All Students,38,327,616,613
208877,PARKWAY SCHOOL (NASSAU),Low Needs,NASSAU,Mathematics,5,All Students,41,331,615,618
208889,CLARKE MIDDLE SCHOOL (NASSAU),Low Needs,NASSAU,ELA,6,All Students,110,325,610,614
208904,CLARKE MIDDLE SCHOOL (NASSAU),Low Needs,NASSAU,Mathematics,6,All Students,104,335,610,615
208918,CLARKE MIDDLE SCHOOL (NASSAU),Low Needs,NASSAU,ELA,7,All Students,121,321,613,606
208932,CLARKE MIDDLE SCHOOL (NASSAU),Low Needs,NASSAU,Mathematics,7,All Students,112,328,615,613
208946,CLARKE MIDDLE SCHOOL (NASSAU),Low Needs,NASSAU,ELA,8,All Students,82,328,614,607
208958,CLARKE MIDDLE SCHOOL (NASSAU),Low Needs,NASSAU,Mathematics,8,All Students,49,317,613,612
208970,WOODLAND MIDDLE SCHOOL (NASSAU),Low Needs,NASSAU,ELA,6,All Students,152,319,613,608
208984,WOODLAND MIDDLE SCHOOL (NASSAU),Low Needs,NASSAU,Mathematics,6,All Students,149,333,611,612
